0.900,1.482,0.185,-1.259,0.608,-2.660,0.304
0.920,1.488,0.149,-1.256,0.498,-2.715,0.249
0.940,1.493,0.112,-1.253,0.388,-2.759,0.194
0.960,1.497,0.075,-1.251,0.277,-2.792,0.139
0.980,1.499,0.038,-1.250,0.166,-2.814,0.083
1.000,1.500,-0.000,-1.250,0.056,-2.826,0.028
1.020,1.499,-0.038,-1.250,-0.056,-2.826,-0.028
1.040,1.497,-0.075,-1.251,-0.166,-2.814,-0.083
1.060,1.493,-0.112,-1.253,-0.277,-2.792,-0.139
1.080,1.488,-0.149,-1.256,-0.388,-2.759,-0.194
1.100,1.482,-0.185,-1.259,-0.498,-2.715,-0.249
1.120,1.473,-0.221,-1.263,-0.608,-2.660,-0.304
1.140,1.464,-0.255,-1.268,-0.717,-2.594,-0.358
1.160,1.453,-0.289,-1.274,-0.825,-2.519,-0.413
1.180,1.440,-0.321,-1.280,-0.933,-2.433,-0.466
1.200,1.427,-0.353,-1.287,-1.039,-2.338,-0.520
1.220,1.411,-0.382,-1.294,-1.145,-2.234,-0.572
1.240,1.395,-0.411,-1.303,-1.249,-2.121,-0.625
1.260,1.377,-0.437,-1.312,-1.352,-1.999,-0.676
1.280,1.357,-0.462,-1.321,-1.454,-1.870,-0.727
1.300,1.337,-0.485,-1.332,-1.555,-1.733,-0.777
1.320,1.314,-0.507,-1.343,-1.654,-1.589,-0.827
1.340,1.291,-0.526,-1.354,-1.751,-1.439,-0.876
1.360,1.266,-0.543,-1.367,-1.847,-1.283,-0.923
1.380,1.241,-0.558,-1.380,-1.940,-1.123,-0.970
1.400,1.214,-0.571,-1.393,-2.032,-0.958,-1.016
1.420,1.185,-0.581,-1.407,-2.122,-0.789,-1.061
1.440,1.156,-0.589,-1.422,-2.210,-0.617,-1.105
1.460,1.125,-0.595,-1.437,-2.295,-0.442,-1.148
1.480,1.093,-0.599,-1.453,-2.379,-0.266,-1.189
1.500,1.061,-0.600,-1.470,-2.459,-0.089,-1.230
1.520,1.027,-0.599,-1.487,-2.538,0.089,-1.269
1.540,0.992,-0.595,-1.504,-2.614,0.266,-1.307
1.560,0.956,-0.589,-1.522,-2.687,0.442,-1.344
1.580,0.919,-0.581,-1.540,-2.758,0.617,-1.379
1.600,0.882,-0.571,-1.559,-2.826,0.789,-1.413
1.620,0.843,-0.558,-1.578,-2.891,0.958,-1.446
1.640,0.804,-0.543,-1.598,-2.954,1.123,-1.477
1.660,0.764,-0.526,-1.618,-3.013,1.283,-1.507
1.680,0.723,-0.507,-1.639,-3.070,1.439,-1.535
1.700,0.681,-0.485,-1.660,-3.123,1.589,-1.562
1.720,0.639,-0.462,-1.681,-3.174,1.733,-1.587
1.740,0.596,-0.437,-1.702,-3.221,1.870,-1.611
1.760,0.552,-0.411,-1.724,-3.265,1.999,-1.633
1.780,0.508,-0.382,-1.746,-3.306,2.121,-1.653
1.800,0.464,-0.353,-1.768,-3.344,2.234,-1.672
1.820,0.418,-0.321,-1.791,-3.378,2.338,-1.689
1.840,0.373,-0.289,-1.813,-3.409,2.433,-1.704
1.860,0.327,-0.255,-1.836,-3.436,2.519,-1.718
1.880,0.281,-0.221,-1.859,-3.461,2.594,-1.730
1.900,0.235,-0.185,-1.883,-3.482,2.660,-1.741
1.920,0.188,-0.149,-1.906,-3.499,2.715,-1.749
1.940,0.141,-0.112,-1.929,-3.513,2.759,-1.756
1.960,0.094,-0.075,-1.953,-3.523,2.792,-1.762
1.980,0.047,-0.038,-1.976,-3.530,2.814,-1.765
2.000,-0.000,0.000,-2.000,-3.534,2.826,-1.767
2.020,-0.047,0.038,-2.024,-3.534,2.826,-1.767
2.040,-0.094,0.075,-2.047,-3.530,2.814,-1.765
2.060,-0.141,0.112,-2.071,-3.523,2.792,-1.762
2.080,-0.188,0.149,-2.094,-3.513,2.759,-1.756
2.100,-0.235,0.185,-2.117,-3.499,2.715,-1.749
2.120,-0.281,0.221,-2.141,-3.482,2.660,-1.741
2.140,-0.327,0.255,-2.164,-3.461,2.594,-1.730
2.160,-0.373,0.289,-2.187,-3.436,2.519,-1.718
2.180,-0.418,0.321,-2.209,-3.409,2.433,-1.704
2.200,-0.464,0.353,-2.232,-3.378,2.338,-1.689
